W,H,D,T,Xc,Yc,R,ligament_x,ligament_y,clear_ok
131.91984186128755,183.41212533902515,62.51564025344736,20.0,65.95992093064378,91.70606266951258,31.25782012672368,34.702100803920096,60.4482425427889,True
175.8802735508973,230.81098076324795,28.15580579980601,20.0,87.94013677544865,115.40549038162398,14.077902899903005,73.86223387554564,101.32758748172097,True
107.19164457483315,145.0301827915275,30.008736468677334,20.0,53.595822287416574,72.51509139576375,15.004368234338667,38.59145405307791,57.51072316142508,True
138.94884764534925,237.88053439536094,69.91713981815201,20.0,69.47442382267462,118.94026719768047,34.958569909076004,34.51585391359862,83.98169728860447,True
160.55090860737317,143.87533155329947,38.517928318237836,20.0,80.27545430368659,71.93766577664974,19.258964159118918,61.01649014456767,52.67870161753082,True
112.91301635285106,208.778975382059,25.61934026193728,20.0,56.45650817642553,104.3894876910295,12.80967013096864,43.64683804545689,91.57981756006086,True
178.85790288511447,214.38514558369334,66.22609813669072,20.0,89.42895144255723,107.19257279184667,33.11304906834536,56.31590237421187,74.07952372350131,True
150.40546942389057,175.2280708629521,25.49105583060541,20.0,75.20273471194528,87.61403543147605,12.745527915302706,62.45720679664258,74.86850751617335,True
113.08701162215092,144.04482144738557,64.93305666700005,20.0,56.54350581107546,72.02241072369279,32.46652833350002,24.07697747757544,39.555882390192764,True
171.73628268186815,170.8286551438133,55.289838694791506,20.0,85.86814134093407,85.41432757190665,27.644919347395753,58.22322199353832,57.7694082245109,True
137.8114616236731,230.66854175742122,26.769707704172898,20.0,68.90573081183655,115.33427087871061,13.384853852086449,55.5208769597501,101.94941702662416,True
101.52967790665994,216.89097935247003,53.57065551047774,20.0,50.76483895332997,108.44548967623501,26.78532775523887,23.9795111980911,81.66016192099615,True
144.08143301074753,156.87931674862068,65.70269828568863,20.0,72.04071650537377,78.43965837431034,32.85134914284431,39.18936736252945,45.58830923146603,True
104.45260490033726,177.2771044793617,69.36903489200333,20.0,52.22630245016863,88.63855223968085,34.684517446001664,17.541785004166968,53.954034793679185,True
162.78716365470507,199.98544244962403,49.98958811445442,20.0,81.39358182735253,99.99272122481202,24.99479405722721,56.398787770125324,74.9979271675848,True
150.24575993878793,207.0882396463469,24.047348029263535,20.0,75.12287996939396,103.54411982317345,12.023674014631768,63.0992059547622,91.52044580854168,True
134.38552852259386,213.84432638874358,62.86822899232527,20.0,67.19276426129693,106.92216319437179,31.434114496162636,35.758649765134294,75.48804869820916,True
118.78720492999253,167.88500519811848,49.38142131264246,20.0,59.39360246499626,83.94250259905924,24.69071065632123,34.702891808675034,59.25179194273801,True
167.60261270900685,229.15544365146292,53.28562438306575,20.0,83.80130635450342,114.57772182573146,26.642812191532876,57.15849416297055,87.93490963419859,True
132.0754086876475,147.26025915738043,49.49842278160839,20.0,66.03770434382375,73.63012957869022,24.749211390804195,41.288492953019556,48.880918187886024,True
108.2265513423315,196.2194173168993,49.243974612576984,20.0,54.11327567116575,98.10970865844965,24.621987306288492,29.49128836487726,73.48772135216116,True
131.742142828876,198.10722989911073,31.84676671692965,20.0,65.871071414438,99.05361494955537,15.923383358464825,49.94768805597318,83.13023159109053,True
142.48713140933148,233.5603639641814,48.97279378382311,20.0,71.24356570466574,116.7801819820907,24.486396891911554,46.75716881275419,92.29378509017914,True
108.05242314301147,162.30939690175705,20.218320235829985,20.0,54.02621157150573,81.15469845087853,10.109160117914993,43.917051453590744,71.04553833296353,True
148.9173020363287,181.26128361809845,54.075593332319954,20.0,74.45865101816435,90.63064180904922,27.037796666159977,47.42085435200437,63.592845142889246,True
169.5009055831097,172.33271612732835,36.41931384597315,20.0,84.75045279155485,86.16635806366418,18.209656922986575,66.54079586856827,67.95670114067761,True
124.29657688086522,198.8857999609294,68.3949970824608,20.0,62.14828844043261,99.4428999804647,34.1974985412304,27.950789899202206,65.2454014392343,True
140.6942997531841,145.68009414519344,34.189310619454105,20.0,70.34714987659206,72.84004707259672,17.094655309727052,53.252494566865,55.745391762869666,True
168.37980715607767,156.11917030306589,63.701247730726614,20.0,84.18990357803884,78.05958515153294,31.850623865363307,52.339279712675534,46.20896128616964,True
134.47700634649658,173.3227425101142,44.8738916600165,20.0,67.23850317324829,86.6613712550571,22.43694583000825,44.80155734324004,64.22442542504885,True
109.80318228245389,192.97679853809666,22.175836163250317,20.0,54.901591141226945,96.48839926904833,11.087918081625158,43.81367305960178,85.40048118742317,True
153.2161344282133,235.12353954326397,23.741303493754806,20.0,76.60806721410665,117.56176977163199,11.870651746877403,64.73741546722925,105.69111802475459,True
