W,H,D,T,Xc,Yc,R,ligament_x,ligament_y,clear_ok
107.19164457483315,145.0301827915275,30.008736468677334,20.0,53.595822287416574,72.51509139576375,15.004368234338667,38.59145405307791,57.51072316142508,True
175.8802735508973,230.81098076324795,28.15580579980601,20.0,87.94013677544865,115.40549038162398,14.077902899903005,73.86223387554564,101.32758748172097,True
101.52967790665994,216.89097935247003,53.57065551047774,20.0,50.76483895332997,108.44548967623501,26.78532775523887,23.9795111980911,81.66016192099615,True
168.37980715607767,156.11917030306589,63.701247730726614,20.0,84.18990357803884,78.05958515153294,31.850623865363307,52.339279712675534,46.20896128616964,True
150.40546942389057,175.2280708629521,25.49105583060541,20.0,75.20273471194528,87.61403543147605,12.745527915302706,62.45720679664258,74.86850751617335,True
138.94884764534925,237.88053439536094,69.91713981815201,20.0,69.47442382267462,118.94026719768047,34.958569909076004,34.51585391359862,83.98169728860447,True
104.45260490033726,177.2771044793617,69.36903489200333,20.0,52.22630245016863,88.63855223968085,34.684517446001664,17.541785004166968,53.954034793679185,True
178.85790288511447,214.38514558369334,66.22609813669072,20.0,89.42895144255723,107.19257279184667,33.11304906834536,56.31590237421187,74.07952372350131,True
109.80318228245389,192.97679853809666,22.175836163250317,20.0,54.901591141226945,96.48839926904833,11.087918081625158,43.81367305960178,85.40048118742317,True
137.8114616236731,230.66854175742122,26.769707704172898,20.0,68.90573081183655,115.33427087871061,13.384853852086449,55.5208769597501,101.94941702662416,True
113.08701162215092,144.04482144738557,64.93305666700005,20.0,56.54350581107546,72.02241072369279,32.46652833350002,24.07697747757544,39.555882390192764,True
140.6942997531841,145.68009414519344,34.189310619454105,20.0,70.34714987659206,72.84004707259672,17.094655309727052,53.252494566865,55.745391762869666,True
124.29657688086522,198.8857999609294,68.3949970824608,20.0,62.14828844043261,99.4428999804647,34.1974985412304,27.950789899202206,65.2454014392343,True
148.9173020363287,181.26128361809845,54.075593332319954,20.0,74.45865101816435,90.63064180904922,27.037796666159977,47.42085435200437,63.592845142889246,True
150.24575993878793,207.0882396463469,24.047348029263535,20.0,75.12287996939396,103.54411982317345,12.023674014631768,63.0992059547622,91.52044580854168,True
118.78720492999253,167.88500519811848,49.38142131264246,20.0,59.39360246499626,83.94250259905924,24.69071065632123,34.702891808675034,59.25179194273801,True
