W_over_D,e_over_D,t_over_D,W_mm,e_mm,t_mm
2.96001239,2.18275078,0.59355739,59.20024776,43.65501559,11.87114777
2.07233657,1.53467611,0.72137988,41.44673134,30.69352218,14.42759755
2.03486488,2.40456655,0.40664973,40.69729766,48.09133095,8.13299455
2.94399847,1.58672873,0.74926246,58.87996938,31.73457453,14.98524926
2.38824512,2.15791490,0.79675714,47.76490247,43.15829793,15.93514270
2.54133553,1.50048162,0.44928419,50.82671063,30.00963238,8.98568374
2.62938339,2.41787555,0.53329850,52.58766783,48.35751091,10.66596999
2.49584578,2.04469067,0.42638281,49.91691564,40.89381344,8.52765614
2.01207439,2.02883923,0.51770642,40.24148790,40.57678453,10.35412839
2.08179689,2.37195877,0.76068176,41.63593786,47.43917540,15.21363527
2.84893120,2.43013912,0.79021727,56.97862407,48.60278244,15.80434549
2.88173842,1.59517843,0.43816799,57.63476838,31.90356853,8.76335986
2.30546272,1.80219652,0.42329849,46.10925439,36.04393043,8.46596980
2.69498949,2.06540593,0.66461462,53.89978987,41.30811863,13.29229234
2.55483270,1.65406637,0.70209468,51.09665406,33.08132735,14.04189364
2.24640291,1.75050766,0.78471152,44.92805813,35.01015321,15.69423047
