W_over_D,e_over_D,t_over_D,W_mm,e_mm,t_mm
2.07233657,1.53467611,0.72137988,41.44673134,30.69352218,14.42759755
2.82872035,2.47212659,0.50316256,56.57440698,49.44253181,10.06325115
2.94399847,1.58672873,0.74926246,58.87996938,31.73457453,14.98524926
2.03486488,2.40456655,0.40664973,40.69729766,48.09133095,8.13299455
2.38824512,2.15791490,0.79675714,47.76490247,43.15829793,15.93514270
2.54133553,1.50048162,0.44928419,50.82671063,30.00963238,8.98568374
2.99350301,1.95358284,0.43244843,59.87006019,39.07165687,8.64896857
2.22273809,1.88319211,0.48357932,44.45476183,37.66384221,9.67158639
2.60132723,1.85711681,0.60812683,52.02654465,37.14233619,12.16253661
2.40041160,2.37652184,0.47033256,48.00823196,47.53043675,9.40665130
2.08179689,2.37195877,0.76068176,41.63593786,47.43917540,15.21363527
2.67655836,2.29199427,0.75104838,53.53116716,45.83988542,15.02096752
2.88173842,1.59517843,0.43816799,57.63476838,31.90356853,8.76335986
2.24640291,1.75050766,0.78471152,44.92805813,35.01015321,15.69423047
2.96001239,2.18275078,0.59355739,59.20024776,43.65501559,11.87114777
2.49584578,2.04469067,0.42638281,49.91691564,40.89381344,8.52765614
2.89331826,1.82886095,0.65323560,57.86636526,36.57721894,13.06471207
2.11310719,1.61814201,0.47604576,42.26214384,32.36284017,9.52091523
2.13746307,2.12370734,0.71420628,42.74926145,42.47414688,14.28412567
2.02490021,1.82233128,0.63282120,40.49800411,36.44662562,12.65642400
2.41085679,1.52873013,0.65978064,48.21713582,30.57460257,13.19561287
2.78965817,2.20888024,0.41667769,55.79316337,44.17760488,8.33355388
2.26833919,2.12662249,0.46787344,45.36678377,42.53244976,9.35746886
2.28295637,2.48536229,0.70836302,45.65912735,49.70724589,14.16726044
2.01207439,2.02883923,0.51770642,40.24148790,40.57678453,10.35412839
2.69498949,2.06540593,0.66461462,53.89978987,41.30811863,13.29229234
2.45324413,1.70645431,0.50775925,49.06488264,34.12908613,10.15518506
2.66607934,1.77858448,0.40483182,53.32158679,35.57168970,8.09663633
2.64558601,1.63591387,0.63000057,52.91172016,32.71827747,12.60001147
2.84893120,2.43013912,0.79021727,56.97862407,48.60278244,15.80434549
2.51066970,1.94578819,0.77546800,50.21339410,38.91576381,15.50935999
2.62938339,2.41787555,0.53329850,52.58766783,48.35751091,10.66596999
2.47221276,2.23300547,0.57833299,49.44425516,44.66010940,11.56665987
2.75644305,1.79617327,0.77460114,55.12886107,35.92346543,15.49202284
2.20868961,2.31109300,0.64061847,44.17379215,46.22186004,12.81236940
2.25692137,1.65890954,0.58323094,45.13842745,33.17819071,11.66461888
2.16447673,2.27707851,0.45052493,43.28953456,45.54157011,9.01049852
2.44872838,2.44320753,0.64849393,48.97456753,48.86415052,12.96987868
2.97347862,2.32665348,0.69088178,59.46957249,46.53306958,13.81763553
2.80342092,1.55234615,0.57381580,56.06841839,31.04692294,11.47631608
2.33964905,1.98606754,0.52840140,46.79298109,39.72135085,10.56802796
2.71279654,1.89758461,0.49947222,54.25593087,37.95169225,9.98944446
2.35680300,2.01084443,0.76671359,47.13606006,40.21688855,15.33427183
2.81479058,1.93074855,0.73140236,56.29581154,38.61497093,14.62804721
2.86934668,2.33833016,0.55880678,57.38693356,46.76660319,11.17613556
2.14401976,1.91821970,0.59722866,42.88039524,38.36439391,11.94457323
2.78113496,2.09316543,0.48981073,55.62269929,41.86330858,9.79621468
2.10734498,1.73714435,0.54028217,42.14689953,34.74288700,10.80564344
2.43234592,1.87041260,0.69654013,48.64691837,37.40825195,13.93080257
2.30546272,1.80219652,0.42329849,46.10925439,36.04393043,8.46596980
2.19055056,2.09439751,0.56570839,43.81101114,41.88795025,11.31416771
2.90978194,1.68974040,0.51963376,58.19563873,33.79480804,10.39267526
2.36379859,1.57126752,0.55045772,47.27597182,31.42535049,11.00915438
2.93714369,2.06102396,0.60611492,58.74287379,41.22047917,12.12229849
2.62223793,1.96972146,0.67869670,52.44475851,39.39442923,13.57393392
2.05810572,2.20247478,0.67419929,41.16211444,44.04949557,13.48398580
2.55483270,1.65406637,0.70209468,51.09665406,33.08132735,14.04189364
2.74931557,1.72349499,0.68569795,54.98631132,34.46989988,13.71395899
2.56946819,2.35602211,0.45776195,51.38936371,47.12044229,9.15523903
2.58328416,2.23771775,0.72767670,51.66568313,44.75435490,14.55353399
2.32777012,2.46705350,0.61423525,46.55540248,49.34107008,12.28470508
2.18067629,1.68144565,0.74338561,43.61352582,33.62891301,14.86771216
2.72943861,2.14418731,0.62435373,54.58877217,42.88374611,12.48707463
2.52974389,2.25879450,0.54584804,50.59487782,45.17589003,10.91696081
